infinitive,sg1,sg2,sg3,pl1,pl2,pl3
tener,tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron
comer,comí,comiste,comió,comimos,comisteis,comieron
ver,vi,viste,vio,vimos,visteis,vieron
vivir,viví,viviste,vivió,vivimos,vivisteis,vivieron
estar,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron
ser,fui,fuiste,fue,fuimos,fuisteis,fueron
ir,fui,fuiste,fue,fuimos,fuisteis,fueron
hacer,hice,hiciste,hizo,hicimos,hicisteis,hicieron
poder,pude,pudiste,pudo,pudimos,pudisteis,pudieron
querer,quise,quisiste,quiso,quisimos,quisisteis,quisieron
dar,di,diste,dio,dimos,disteis,dieron
leer,leí,leíste,leyó,leímos,leísteis,leyeron
venir,vine,viniste,vino,vinimos,vinisteis,vinieron
hablar,hablé,hablaste,habló,hablamos,hablasteis,hablaron
saber,supe,supiste,supo,supimos,supisteis,supieron
poner,puse,pusiste,puso,pusimos,pusisteis,pusieron
salir,salí,saliste,salió,salimos,salisteis,salieron
dormir,dormí,dormiste,durmió,dormimos,dormisteis,durmieron
volver,volví,volviste,volvió,volvimos,volvisteis,volvieron
jugar,jugué,jugaste,jugó,jugamos,jugasteis,jugaron
escribir,escribí,escribiste,escribió,escribimos,escribisteis,escribieron
encontrar,encontré,encontraste,encontró,encontramos,encontrasteis,encontraron
llegar,llegué,llegaste,llegó,llegamos,llegasteis,llegaron
empezar,empecé,empezaste,empezó,empezamos,empezasteis,empezaron
tomar,tomé,tomaste,tomó,tomamos,tomasteis,tomaron
conocer,conocí,conociste,conoció,conocimos,conocisteis,conocieron
